element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Mo,1,"=""699.9118""","=""""","=""12""","=""1.15e+06""",B,"=""26414.806""","=""40698.382""","=""4d5.(4P).5s""","=""b 3P""","=""1""","=""4d5.(4P).5p""","=""x 5D*""","=""1""",,"=""T5293""","=""L10250,L3475""",
Th,3,"=""699.92706""","=""0.00005""","=""330""","=""""",,"=""7500.60523""","=""21783.86935""","=""5f.7s""","=""*""","=""3""","=""5f2""","=""3F""","=""4""",,"=""""","=""L5951""",
Th,1,"=""699.96238""","=""0.00008""","=""140""","=""""",,"=""18011.38030""","=""32293.92422""","=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Ga,2,"=""699.9668""","=""0.00074""","=""8hfs""","=""""",,"=""118727.870""","=""133010.30""","=""4s.5p""","=""3P*""","=""2""","=""4s.6s""","=""3S""","=""1""",,"=""""","=""L12180""",
Yb,2,"=""699.988""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""699.98836""","=""0.00015""","=""71""","=""4.7e+05""",D,"=""33095.941""","=""47377.955""","=""3d7.(4F).4p""","=""y 5D*""","=""4""","=""3d7.(4F).5s""","=""e 5F""","=""4""",,"=""T2578n""","=""L11631""",
Cu,1,"=""700.005""","=""0.014""","=""2h""","=""""",,"=""43137.229""","=""57419.24""","=""3d10.5s""","=""2S""","=""1/2""","=""3d10.7p""","=""2P*""","=""1/2""",,"=""""","=""L772""",
Ti,1,"=""700.0141""","=""0.0006""","=""2""","=""""",,"=""19937.855""","=""34219.338""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""","=""3d4""","=""3P2""","=""0""",,"=""""","=""L10989""",
Ta,1,"=""700.021""","=""""","=""20""","=""""",,"=""23912.89""","=""38194.22""","=""5d4.(3G).6s""","=""a 4G""","=""9/2""","=""5d3.6s.(3H).6p""","=""z 4H*?""","=""11/2""",,"=""""","=""L3475""",
Gd,2,"=""700.075""","=""""","=""17""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Kr,1,"=""700.079""","=""""","=""7""","=""4.1e+05""",D+,"=""94092.8626""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T3600n,u41""","=""L7408""",
Th,1,"=""700.080362""","=""0.000004""","=""7800""","=""""",,"=""9804.806547""","=""24084.94271""","=""6d3.(4F).7s""","=""5F""","=""5""","=""6d2.7s.7p""","=""5G*""","=""6""",,"=""""","=""L18702""",
Er,1,"=""700.140""","=""""","=""22""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ar,2,"=""700.144""","=""0.002""","=""0.5""","=""""",,"=""190942.7220""","=""205221.512""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""","=""3s2.3p4.(3P).5d""","=""2P""","=""3/2""",,"=""""","=""L14821""",
W,1,"=""700.156""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Rh,1,"=""700.158""","=""""","=""16""","=""""",,"=""16118.69""","=""30397.27""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4D*""","=""3/2""",,"=""""","=""L3475""",
Mo,1,"=""700.1603""","=""""","=""16""","=""5.9e+05""",B+,"=""19969.847""","=""34248.354""","=""4d5.(4D).5s""","=""b 5D""","=""0""","=""4d4.5s.(6D).5p""","=""z 5F*""","=""1""",,"=""T5293""","=""L10250,L3475""",
O,1,"=""700.192""","=""""","=""360""","=""2.65e+06""",B,"=""88630.587""","=""102908.443""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""",,"=""T5803,LS""","=""L3760""",
O,1,"=""700.223""","=""""","=""450""","=""3.53e+06""",B,"=""88631.146""","=""102908.374""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""",,"=""T5803,LS""","=""L3760""",
Tc,1,"=""700.2375""","=""""","=""150""","=""""",,"=""17328.02""","=""31605.00""","=""4d6.(3H).5s""","=""4H""","=""9/2""","=""4d6.(5D).5p""","=""4F*""","=""7/2""",,"=""""","=""L149""",
W,1,"=""700.270""","=""""","=""10""","=""""",,"=""23930.08""","=""38206.38""","=""5d5.(4D).6s""","=""5D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153""",
Th,1,"=""700.288224""","=""0.000020""","=""990""","=""""",,"=""14204.26476""","=""28480.16113""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L18702""",
Hf,1,"=""700.2940""","=""0.0015""","=""51""","=""""",,"=""26918.146""","=""41193.944""","=""5d3.(b 2P).6s""","=""c 3P""","=""1""","=""5d2.(a 3P).6s.(a 2P).6p""","=""w 3P*""","=""1""",,"=""""","=""L16323""",
Xe,1,"=""700.310""","=""0.001""","=""4""","=""""",,"=""78403.061""","=""92678.516""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""""","=""L4739""",
S,4,"=""700.3274""","=""""","=""4w""","=""6.12e+07""",C,"=""271020.9""","=""285296.0""","=""3s2.5s""","=""2S""","=""1/2""","=""3s2.5p""","=""2P*""","=""3/2""",,"=""T6527c4,LS""","=""u24""",
V,2,"=""700.3463""","=""0.0012""","=""89""","=""""",,"=""76521.357""","=""90796.047""","=""3d3.(4F).4d""","=""5D""","=""3""","=""3d3.(4F<9/2>).4f""","=""2[7/2]*""","=""3""",,"=""""","=""L10089c179""",
Si,1,"=""700.3567""","=""""","=""180""","=""3.42e+06""",D+,"=""48102.323""","=""62376.820""","=""3s2.3p.4p""","=""3D""","=""2""","=""3s2.3p.6d""","=""3F*""","=""3""",,"=""T6066LS""","=""L3521""",
Xe,2,"=""700.396""","=""""","=""50""","=""""",,"=""106906.12""","=""121179.80""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""","=""5s2.5p4.(3P<1>).6p""","=""2[0]*""","=""1/2""",,"=""""","=""L6925""",
Ti,1,"=""700.4601""","=""0.0006""","=""34""","=""""",,"=""18818.099""","=""33090.497""","=""3d3.(4P).4s""","=""c 3P""","=""0""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L10989""",
Ti,2,"=""700.4687""","=""0.0003""","=""16""","=""""",,"=""24961.1910""","=""39233.4153""","=""3d.4s2""","=""c 2D""","=""3/2""","=""3d2.(1D).4p""","=""z 2P*""","=""3/2""",,"=""""","=""u37""",
Ta,1,"=""700.507""","=""""","=""40""","=""""",,"=""6068.91""","=""20340.39""","=""5d3.6s2""","=""a 4P""","=""3/2""","=""5d2.6s2.(3P).6p""","=""z 2S*""","=""1/2""",,"=""""","=""L3475""",
Br,1,"=""700.5192""","=""0.0014""","=""10000""","=""4.3e+06""",C,"=""64907.19""","=""79178.33""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(3P<1>).5p""","=""2[1]*""","=""3/2""",,"=""T6936n,T9382""","=""L351""",
V,2,"=""700.5193""","=""0.0017""","=""8.9h*""","=""""",,"=""76281.367""","=""90552.613""","=""3d3.(4F).4d""","=""5D""","=""0""","=""3d3.(4F<7/2>).4f""","=""2[1/2]*""","=""1""",,"=""""","=""L10089c179""",
V,2,"=""700.5193""","=""0.0017""","=""8.9h*""","=""""",,"=""76521.357""","=""90792.54&dagger;""","=""3d3.(4F).4d""","=""5D""","=""3""","=""3d3.(4F<9/2>).4f""","=""2[5/2]*""","=""2""",,"=""""","=""L10089c179""",
Zr,1,"=""700.546""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""700.5825""","=""0.0005""","=""36""","=""""",,"=""19039.153374""","=""33309.04285""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Ar,5,"=""700.587""","=""0.007""","=""*""","=""5.2e-01""",C,"=""2028.76""","=""16298.66""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",M1,"=""T335,T761""","=""L16109""",
Ar,5,"=""700.587""","=""0.007""","=""*""","=""1.6e-03""",D,"=""2028.76""","=""16298.66""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p2""","=""1D""","=""2""",E2,"=""T761""","=""L16109""",
Si,1,"=""700.5883""","=""""","=""180""","=""3.83e+06""",D+,"=""48264.292""","=""62534.08""","=""3s2.3p.4p""","=""3D""","=""3""","=""3s2.3p.6d""","=""3F*""","=""4""",,"=""T6066LS""","=""L3521""",
Tb,2,"=""700.599""","=""""","=""9""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""700.6113""","=""0.0005""","=""230""","=""""",,"=""20054.77119""","=""34324.0836""","=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
I,1,"=""700.6156""","=""0.0020""","=""170""","=""""",,"=""66354.9277""","=""80624.176""","=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<2>).9p""","=""2[2]*""","=""5/2""",,"=""""","=""L13998""",
Gd,2,"=""700.616""","=""""","=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Re,1,"=""700.663""","=""""","=""35c,w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""700.6655""","=""0.0005""","=""18""","=""""",,"=""19532.41646""","=""33800.6209""","=""6d3.(2F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Ta,1,"=""700.696""","=""""","=""75""","=""""",,"=""9975.81""","=""24243.42""","=""5d4.(5D).6s""","=""a 6D""","=""3/2""","=""5d3.6s.(5F).6p""","=""z 6F*""","=""3/2""",,"=""""","=""L3475""",
Th,1,"=""700.70961""","=""0.00007""","=""170""","=""""",,"=""22508.04658""","=""36775.3589""","=""6d2.7s.7p""","=""5P*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Hf,1,"=""700.7360""","=""0.0015""","=""10""","=""""",,"=""31054.653""","=""45321.503""","=""5d3.(b 2F).6s""","=""c 3F""","=""3""","=""5d2.(b 1D).6s.(b 2D).6p""","=""v 3F*""","=""4""",,"=""""","=""L16323""",
Ti,1,"=""700.7954""","=""0.0006""","=""28""","=""""",,"=""17540.188""","=""31805.758""","=""3d3.(2D2).4s""","=""a 3D""","=""3""","=""3d2.(3P).4s.4p.(3P*)""","=""y 3P*""","=""2""",,"=""""","=""L10989""",
Fe,2,"=""700.7969""","=""0.0002""","=""300bl(Fe I)""","=""""",,"=""93840.405""","=""108105.938""","=""3d5.(4D).4s.4p.(3P*)""","=""6D*""","=""3/2""","=""3d6.(3F2).4d""","=""2P""","=""3/2""",,"=""""","=""L18349c148""",
Fe,1,"=""700.7970""","=""0.0004""","=""30""","=""""",,"=""33695.397""","=""47960.940""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).5s""","=""e 3F""","=""4""",,"=""""","=""L11631""",
Th,2,"=""700.8051""","=""0.0007""","=""54""","=""""",,"=""20288.5750""","=""34553.9543""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""","=""5f.7s.(3F*).7p""","=""""","=""9/2""",,"=""""","=""L2372""",
Ti,1,"=""700.8373""","=""0.0006""","=""25""","=""""",,"=""18825.782""","=""33090.497""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""1""",,"=""""","=""L10989""",
Y,1,"=""700.89287""","=""""","=""13h""","=""""",,"=""19147.983""","=""33411.566""","=""4d.5s.(3D).5p""","=""z 4P*""","=""5/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""5/2""",,"=""""","=""L7610,L3475""",
Hg,1,"=""700.92""","=""0.03""","=""4""","=""""",,"=""68886.43""","=""83149.7""","=""5d9.6s2.(2D<5/2>).6p""","=""2[3/2]*""","=""2""","=""5d10.6s.15s""","=""3S""","=""1""",,"=""""","=""L7590c86""",
V,2,"=""700.9638""","=""0.0012""","=""350""","=""""",,"=""76322.694""","=""90584.833&dagger;""","=""3d3.(4F).4d""","=""5D""","=""1""","=""3d3.(4F<7/2>).4f""","=""2[1/2]*""","=""0""",,"=""""","=""L10089c179""",
W,1,"=""700.968""","=""""","=""8""","=""""",,"=""29479.32""","=""43741.37""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Y,1,"=""700.9883""","=""""","=""10""","=""4.4e+06""",C,"=""18976.366""","=""33238.011""","=""4d.5s.(3D).5p""","=""z 4P*""","=""1/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""3/2""",,"=""T4373""","=""L7610,L3475""",
I,1,"=""701.0198""","=""0.0020""","=""530""","=""""",,"=""66354.9277""","=""80615.983""","=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<2>).9p""","=""2[2]*""","=""3/2""",,"=""""","=""L13998""",
Sc,1,"=""701.020""","=""0.002""","=""6""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4189c12""",
Hf,1,"=""701.0690""","=""0.0015""","=""150""","=""""",,"=""25444.379""","=""39704.402""","=""5d3.(b 2P).6s""","=""c 3P""","=""0""","=""5d2.(a 3P).6s.(a 2P).6p""","=""u 3D*""","=""1""",,"=""""","=""L16323""",
Tm,1,"=""701.079""","=""0.0020""","=""50""","=""""",,"=""31454.298""","=""45714.11""","=""4f12.(3F<4>).6s2.6p<3/2>""","=""(4,3/2)*""","=""9/2""","=""""","=""""","=""11/2""",,"=""""","=""L2006,L3475""",
Nd,2,"=""701.080""","=""""","=""17h""","=""""",,"=""22358.065""","=""36618.040""","=""""","=""*""","=""9/2""","=""4f3.5d.6p""","=""""","=""11/2""",,"=""""","=""L3475""",
Se,1,"=""701.0809""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1791""",
Ti,1,"=""701.1001""","=""0.0006""","=""31""","=""""",,"=""18825.782""","=""33085.151""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d3.(4P).4p""","=""x 3P*""","=""0""",,"=""""","=""L10989""",
Fe,1,"=""701.1343""","=""0.0004""","=""20""","=""""",,"=""37045.934""","=""51304.604""","=""3d7.(2F).4s""","=""d 3F""","=""4""","=""3d7.(2D2).4p""","=""v 3F*""","=""4""",,"=""""","=""L11631""",
W,1,"=""701.140""","=""""","=""6""","=""""",,"=""32238.02""","=""46496.62""","=""""","=""*""","=""3""","=""5d4.6s.(6D).7s""","=""7D""","=""3""",,"=""""","=""L153""",
Pt,1,"=""701.2016""","=""0.0015""","=""400""","=""""",,"=""50010.1497""","=""64267.433""","=""5d8.6s.(2F).6p""","=""a 3F*""","=""4""","=""5d8.(3F<4>).6s.6d.(3D<?>)""","=""a (4,?)""","=""5""",,"=""""","=""L17515c164""",
Ti,2,"=""701.26761""","=""0.00020""","=""26""","=""""",,"=""67822.5867""","=""82078.561""","=""3d2.(3F).4d""","=""e 2G""","=""9/2""","=""3d2.(3F).4f""","=""4G*""","=""9/2""",,"=""""","=""u37""",
Th,1,"=""701.3171""","=""0.0005""","=""4""","=""""",,"=""18699.62342""","=""32954.5879""","=""5f.7s2.7p""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L3552""",
Ti,2,"=""701.3215""","=""0.0004""","=""11""","=""""",,"=""67606.1621""","=""81861.0276""","=""3d2.(3F).4d""","=""e 2G""","=""7/2""","=""3d2.(3F).4f""","=""4G*""","=""7/2""",,"=""""","=""u37""",
W,1,"=""701.338""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Th,1,"=""701.3617""","=""0.0005""","=""36""","=""""",,"=""5563.141519""","=""19817.18191""","=""6d3.(4F).7s""","=""5F""","=""1""","=""6d2.7s.7p""","=""5P*""","=""1""",,"=""""","=""L3552""",
Se,1,"=""701.3875""","=""""","=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1791""",
Np,1,"=""701.402""","=""""","=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Ti,1,"=""701.4282""","=""0.0006""","=""2""","=""""",,"=""25388.331""","=""39641.021""","=""3d2.(3F).4s.4p.(1P*)""","=""y 3F*""","=""4""","=""3d3.(4F).5s""","=""f 3F""","=""3""",,"=""""","=""L10989""",
Hf,1,"=""701.4290""","=""0.0015""","=""100""","=""6.e+03""",E,"=""10532.5690""","=""24785.2649""","=""5d2.6s2""","=""a 1G""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5F*""","=""4""",,"=""T5346""","=""L16323""",
Tm,2,"=""701.431""","=""""","=""6w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""701.452""","=""""","=""3w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Th,1,"=""701.4873""","=""0.0005""","=""230""","=""""",,"=""15166.900593""","=""29418.39044""","=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Th,1,"=""701.49689""","=""0.00005""","=""360""","=""""",,"=""15493.21943""","=""29744.51997""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Th,1,"=""701.53172""","=""0.00004""","=""390""","=""""",,"=""10414.13700""","=""24664.72970""","=""5f.6d.7s2""","=""1G*""","=""4""","=""5f.6d.7s.7p""","=""5F""","=""3""",,"=""""","=""L18702""",
Ti,3,"=""701.538""","=""""","=""12""","=""5.8e+07""",D,"=""135405.27""","=""149655.77""","=""3p6.3d.4d""","=""1D""","=""2""","=""3p6.3d.5p""","=""1F*""","=""3""",,"=""T1216""","=""L3593""",
V,2,"=""701.5491""","=""0.0023""","=""30h""","=""""",,"=""38517.085""","=""52767.3745""","=""3d2.4s2""","=""e 3F""","=""4""","=""3d3.(4P).4p""","=""x 3D*""","=""3""",,"=""""","=""L8201c179""",
W,1,"=""701.576""","=""""","=""8""","=""""",,"=""33291.80""","=""47541.56""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
Te,2,"=""701.606""","=""0.018""","=""150""","=""""",,"=""81895.43""","=""96144.74""","=""5s2.5p2.(3P).5d""","=""2P""","=""3/2""","=""5s2.5p2.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L3546""",
W,1,"=""701.622""","=""""","=""8""","=""""",,"=""36874.36""","=""51123.14""","=""""","=""*""","=""3""","=""5d4.6s.(6D).7s""","=""5D""","=""4""",,"=""""","=""L153""",
Fe,1,"=""701.63916""","=""0.00015""","=""79""","=""1.2e+06""",D,"=""33507.123""","=""47755.537""","=""3d7.(4F).4p""","=""y 5D*""","=""3""","=""3d7.(4F).5s""","=""e 5F""","=""3""",,"=""T2578n""","=""L11631""",
Pd,1,"=""701.6446""","=""""","=""11""","=""""",,"=""38088.192""","=""52336.492""","=""4d9.(2D<3/2>).5p""","=""2[1/2]*""","=""0""","=""4d9.(2D<3/2>).6s""","=""2[3/2]""","=""1""",,"=""""","=""L9430""",
Tc,1,"=""701.6574""","=""""","=""100""","=""""",,"=""16133.98""","=""30382.06""","=""4d5.5s2""","=""4G""","=""9/2""","=""4d6.(5D).5p""","=""6F*""","=""7/2""",,"=""""","=""L149""",
Gd,1,"=""701.660""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Cs,2,"=""701.67131""","=""0.00005""","=""11000""","=""""",,"=""152558.4033""","=""166806.1612""","=""5p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""4""","=""5p5.(2P*<3/2>).5f""","=""2[9/2]""","=""4""",,"=""""","=""L12126""",
Xe,2,"=""701.706""","=""""","=""80""","=""""",,"=""107381.74""","=""121628.82""","=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""",,"=""""","=""L6925""",
Si,1,"=""701.728""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
Ti,3,"=""701.731""","=""""","=""0""","=""1.2e+07""",D,"=""168030.15""","=""182276.75""","=""3p6.3d.5d""","=""3D""","=""2""","=""3p6.3d.5f""","=""3P*""","=""1""",,"=""T1216""","=""L3593""",
Dy,1,"=""701.742""","=""""","=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Si,1,"=""701.7646""","=""""","=""90""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
W,1,"=""701.788""","=""""","=""20""","=""""",,"=""28204.20""","=""42449.60""","=""5d5.(4F).6s""","=""5F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Tm,1,"=""701.790""","=""0.0020""","=""100""","=""""",,"=""26448.274""","=""40693.63""","=""4f13.(2F*<7/2>).5d.6s.(1D)""","=""1[5/2]*""","=""5/2""","=""4f13.(2F*<7/2>).5d.6p.(3F*<3>)""","=""(7/2,3)""","=""3/2""",,"=""""","=""L2006,L3475""",
I,1,"=""701.8218""","=""0.0003""","=""3600""","=""""",,"=""65669.8213""","=""79914.5227""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""","=""5s2.5p4.(3P<2>).9s""","=""2[2]""","=""5/2""",,"=""""","=""L20632,L13998""",
Hf,1,"=""701.8220""","=""0.0015""","=""15""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
I,1,"=""701.8442""","=""0.0003""","=""730""","=""""",,"=""64906.1234""","=""79150.374""","=""5s2.5p4.(3P<2>).6p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<2>).7d""","=""2[4]""","=""7/2""",,"=""""","=""L20632,L13998""",
Th,1,"=""701.856742""","=""0.000004""","=""9800""","=""""",,"=""0.000000""","=""14243.993748""","=""6d2.7s2""","=""3F""","=""2""","=""5f.6d.7s2""","=""3P*""","=""1""",,"=""""","=""L18702""",
Th,1,"=""701.8784""","=""0.0005""","=""13""","=""""",,"=""19588.36224""","=""33831.88538""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Nd,2,"=""701.885""","=""""","=""8""","=""""",,"=""8420.320""","=""22663.710""","=""4f4.(5I).5d""","=""6I""","=""9/2""","=""""","=""*""","=""9/2""",,"=""""","=""L3475""",
Np,1,"=""701.891""","=""""","=""300l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Xe,1,"=""701.902""","=""0.001""","=""30""","=""3.5e+05""",C,"=""78403.061""","=""92646.125""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).7d""","=""2[7/2]*""","=""3""",,"=""T5099""","=""L4739""",
Hf,1,"=""701.9250""","=""0.0015""","=""250""","=""""",,"=""29246.6760""","=""43489.327""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""4""","=""5d2.(3F).6s.(a 4F).7s""","=""d 3F""","=""3""",,"=""""","=""L16323""",
Th,1,"=""701.9970""","=""0.0005""","=""18""","=""""",,"=""14032.085336""","=""28273.21842""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
W,1,"=""702.026""","=""""","=""8""","=""""",,"=""24789.66""","=""39030.25""","=""5d4.6s2""","=""1D2""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L153""",
Sm,2,"=""702.044""","=""""","=""90""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""702.04841""","=""0.00010""","=""100""","=""""",,"=""15493.21943""","=""29733.32304""","=""6d3.(2H).7s""","=""3H""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
Nd,2,"=""702.092""","=""""","=""17""","=""""",,"=""14301.805""","=""28540.945""","=""4f4.(5I).5d""","=""4L""","=""17/2""","=""""","=""*""","=""15/2""",,"=""""","=""L3475""",
Th,1,"=""702.12833""","=""0.00005""","=""430""","=""""",,"=""15970.09583""","=""30208.5794""","=""6d3.(2D2).7s""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
