element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Pr,2,"=""702.151""","=""""","=""40*""","=""2.6e+06""",C+,"=""11418.52""","=""25656.69&dagger;""","=""4f3.(4I*).5d""","=""3L*""","=""7""","=""4f3.(4I*).6p""","=""5I""","=""6""",,"=""T8137""","=""L3475""",
Pr,2,"=""702.151""","=""""","=""40*""","=""""",,"=""7438.23""","=""21676.12""","=""4f3.(4I*).5d""","=""3I*""","=""5""","=""4f2.5d.6s?""","=""""","=""5""",,"=""""","=""L3475""",
Th,1,"=""702.1668""","=""0.0005""","=""13""","=""""",,"=""23655.13881""","=""37892.8248""","=""""","=""*""","=""4""","=""5f.6d2.7p ""","=""5I""","=""4""",,"=""""","=""L3552""",
Th,1,"=""702.1899""","=""0.0005""","=""180""","=""""",,"=""17959.89498""","=""32197.1148""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Hg,1,"=""702.2""","=""0.1""","=""0""","=""""",,"=""69516.576""","=""83753.3""","=""5d10.6s.7p""","=""3P*""","=""0""","=""5d10.6s.19d""","=""3D""","=""1""",,"=""""","=""L15188c86""",
Kr,2,"=""702.256""","=""""","=""2H""","=""""",,"=""150201.68""","=""164437.45""","=""4s2.4p4.(1D).5p""","=""2P*""","=""3/2""","=""4s2.4p4.(3P).5d""","=""4P""","=""1/2""",,"=""""","=""L7386""",
Cu,2,"=""702.2859""","=""0.0004""","=""2800""","=""""",,"=""121524.8509""","=""135760.1548""","=""3d8.(3F).4s.4p.(3P*)""","=""1F*""","=""3""","=""3d9.(2D<3/2>).6s""","=""2[3/2]""","=""2""",,"=""""","=""L869c171""",
Fe,1,"=""702.29535""","=""0.00015""","=""79""","=""1.7e+06""",D,"=""33801.572""","=""48036.673""","=""3d7.(4F).4p""","=""y 5D*""","=""2""","=""3d7.(4F).5s""","=""e 5F""","=""2""",,"=""T2578n""","=""L11631""",
Th,1,"=""702.31487""","=""0.00008""","=""150""","=""""",,"=""19039.153374""","=""33273.8588""","=""6d.7s2.7p""","=""3P*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Nb,1,"=""702.348""","=""""","=""21""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Th,1,"=""702.35276""","=""0.00005""","=""360""","=""""",,"=""16554.24283""","=""30788.17715""","=""6d3.(2H).7s""","=""3H""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L18702""",
Th,1,"=""702.3636""","=""0.0005""","=""120""","=""""",,"=""11877.839132""","=""26111.53886""","=""6d.7s2.7p""","=""3D*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L3552""",
La,1,"=""702.367""","=""""","=""75""","=""1.07e+07""",B+,"=""8052.162""","=""22285.77""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""5d2.(3F).6p""","=""2G*""","=""9/2""",,"=""T9460""","=""L3475""",
Th,1,"=""702.3776""","=""0.0005""","=""37""","=""""",,"=""11802.93238""","=""26036.34930""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Ne,1,"=""702.40500""","=""0.00004""","=""34000""","=""1.89e+06""",B+,"=""135888.7173""","=""150121.5922""","=""2s2.2p5.(2P*<1/2>).3s""","=""2[1/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[3/2]""","=""1""",,"=""T2733""","=""L3451""",
Re,1,"=""702.415""","=""""","=""65c,w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Pr,1,"=""702.453""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Nd,2,"=""702.458""","=""""","=""17""","=""""",,"=""2585.460""","=""16817.230""","=""4f4.(5I).6s""","=""6I""","=""13/2""","=""4f3.5d2""","=""4K*""","=""11/2""",,"=""""","=""L3475""",
Th,1,"=""702.48953""","=""0.00009""","=""110""","=""""",,"=""20543.84624""","=""34775.0059""","=""6d.7s2.7p""","=""3P*""","=""0""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Ta,1,"=""702.503""","=""""","=""50""","=""""",,"=""10950.22""","=""25181.12""","=""5d3.6s2""","=""a 2P""","=""3/2""","=""5d3.6s.(5F).6p""","=""z 6F*""","=""5/2""",,"=""""","=""L3475""",
Th,1,"=""702.5188""","=""0.0005""","=""18""","=""""",,"=""22855.29928""","=""37085.8553""","=""""","=""*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L3552""",
Th,1,"=""702.5379""","=""0.0005""","=""4""","=""""",,"=""15618.98461""","=""29849.16255""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""4""",,"=""""","=""L3552""",
V,1,"=""702.6048""","=""0.0002""","=""100000""","=""""",,"=""19078.112""","=""33306.943""","=""3d4.(3F2).4s""","=""a 2F""","=""7/2""","=""3d3.(2G).4s.4p.(3P*)""","=""y 2G*""","=""9/2""",,"=""""","=""L15916""",
Hf,1,"=""702.6240""","=""0.0015""","=""5""","=""""",,"=""31619.988""","=""45848.407""","=""5d3.(b 2F).6s""","=""c 3F""","=""2""","=""""","=""4585*""","=""2""",,"=""""","=""L16323""",
Th,1,"=""702.64617""","=""0.00007""","=""170""","=""""",,"=""8111.004545""","=""22338.99484""","=""6d2.7s2""","=""1G""","=""4""","=""5f.6d2.7s""","=""5G*""","=""3""",,"=""""","=""L5951""",
Cs,1,"=""702.66801""","=""0.00011""","=""100""","=""""",,"=""14499.2568""","=""28726.8123""","=""5p6.5d""","=""2D""","=""3/2""","=""5p6.10p""","=""2P*""","=""1/2""",,"=""""","=""L5791""",
Zr,1,"=""702.740""","=""""","=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
W,1,"=""702.789""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Ru,1,"=""702.798""","=""""","=""26""","=""""",,"=""28890.47""","=""43115.47""","=""4d7.(a 4F).5p""","=""z 5F*""","=""3""","=""4d7.(a 4F).6s""","=""e 3F""","=""3""",,"=""""","=""L3475""",
Ti,2,"=""702.7987""","=""0.0004""","=""11""","=""""",,"=""67549.2547""","=""81774.158""","=""3d2.(3F).4d""","=""4P""","=""3/2""","=""3d2.(3F).4f""","=""4D*""","=""5/2""",,"=""""","=""u37""",
Th,1,"=""702.80229""","=""0.00007""","=""190""","=""""",,"=""15736.968041""","=""29961.79723""","=""6d2.7s.7p""","=""5F*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Hf,1,"=""702.8240""","=""0.0015""","=""5""","=""""",,"=""33121.5094""","=""47345.946""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 5P*""","=""2""","=""6p2.(1D).5d.(2G).6s""","=""b 3G""","=""3""",,"=""""","=""L16323""",
Hf,1,"=""702.8520""","=""0.0015""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L16323""",
W,1,"=""702.868""","=""""","=""12""","=""""",,"=""23982.80""","=""38206.38""","=""5d5.(4D).6s""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L153""",
Hf,1,"=""702.8930""","=""0.0015""","=""15""","=""""",,"=""27516.4201""","=""41739.415""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""4""","=""5d4""","=""a 5D""","=""3""",,"=""""","=""L16323""",
Tm,1,"=""702.940""","=""0.004""","=""60h""","=""""",,"=""23335.111""","=""37557.25""","=""4f13.(2F*<7/2>).5d.6s.(3D)""","=""3[5/2]*""","=""7/2""","=""4f13.(2F*<7/2>).6s.7p""","=""""","=""7/2""",,"=""""","=""L2006,L3475""",
Pt,1,"=""703.0063""","=""0.0015""","=""540""","=""""",,"=""46419.952""","=""60640.659""","=""5d8.6s.(4P).6p""","=""a 5D*""","=""2""","=""5d9.7s""","=""3D""","=""2""",,"=""""","=""L17515c164""",
B,2,"=""703.020""","=""0.003""","=""4""","=""3.97e+07""",A,"=""129773.83""","=""143994.11""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.3p""","=""3P*""","=""2""",,"=""T7096""","=""L12120""",
Ar,1,"=""703.0251""","=""""","=""150""","=""2.67e+06""",C,"=""105462.7596""","=""119683.0821""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
Fe,2,"=""703.02581""","=""0.00007""","=""1500""","=""3.3e+04""",E,"=""92300.269""","=""106520.612""","=""3d5.(4D).4s.4p.(3P*)""","=""6F*""","=""9/2""","=""3d5.4s.(7S).4d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c145""",
Hf,2,"=""703.033""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Pr,3,"=""703.039""","=""""","=""5000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2466""",
I,1,"=""703.0400""","=""0.0020""","=""130""","=""""",,"=""63186.5971""","=""77406.6276""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""","=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L13998""",
W,1,"=""703.050""","=""""","=""10""","=""""",,"=""14976.18""","=""29195.84""","=""5d4.6s2""","=""3D""","=""2""","=""5d4.6s.(6D).6p""","=""5D*""","=""2""",,"=""""","=""L153""",
Lu,1,"=""703.124""","=""""","=""23""","=""""",,"=""23524.24""","=""37742.56""","=""5d.6s.(3D).6p""","=""4D*""","=""7/2""","=""5d.6s.(3D).7s""","=""4D""","=""5/2""",,"=""""","=""L3475""",
Th,1,"=""703.13064""","=""0.00008""","=""130""","=""""",,"=""19503.143490""","=""33721.32901""","=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Ti,3,"=""703.140""","=""""","=""2""","=""5.0e+07""",D,"=""168343.62""","=""182561.61""","=""3p6.3d.5d""","=""1P""","=""1""","=""3p6.3d.5f""","=""1P*""","=""1""",,"=""T1216""","=""L3593""",
Th,1,"=""703.1469""","=""0.0005""","=""69""","=""""",,"=""21594.67329""","=""35812.5195""","=""6d3.(2F).7s""","=""1F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
Ta,1,"=""703.151""","=""""","=""13""","=""2.2e+05""",C+,"=""17383.12""","=""31600.95""","=""5d3.6s2""","=""a 2F""","=""7/2""","=""""","=""316*""","=""7/2""",,"=""T4976""","=""L3475""",
W,1,"=""703.156""","=""""","=""2""","=""""",,"=""33952.85""","=""48170.55""","=""5d5.(4D).6s""","=""3D""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
I,1,"=""703.162""","=""0.004""","=""240w""","=""""",,"=""63186.5971""","=""77404.2088""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""1/2""","=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",,"=""""","=""L13998""",
B,2,"=""703.190""","=""0.003""","=""3""","=""3.98e+07""",A,"=""129773.83""","=""143990.56""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.3p""","=""3P*""","=""1""",,"=""T7096""","=""L12120""",
W,1,"=""703.199""","=""""","=""3""","=""""",,"=""28233.44""","=""42450.24""","=""5d5.(4F).6s""","=""5F""","=""5""","=""""","=""*""","=""4""",,"=""""","=""L153""",
La,1,"=""703.205""","=""""","=""26""","=""""",,"=""9044.214""","=""23260.92""","=""5d2.(3P).6s""","=""2P""","=""1/2""","=""5d2.(3P).6p""","=""2S*""","=""1/2""",,"=""""","=""L3475""",
Th,1,"=""703.2178""","=""0.0005""","=""69""","=""""",,"=""20214.92997""","=""34431.3389""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L3552""",
Th,1,"=""703.2350""","=""0.0005""","=""13""","=""""",,"=""15618.98461""","=""29835.04913""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L3552""",
W,1,"=""703.238""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Ne,1,"=""703.24128""","=""0.00004""","=""85000""","=""2.66e+07""",B+,"=""134041.8400""","=""148257.7898""","=""2s2.2p5.(2P*<3/2>).3s""","=""2[3/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""1""",,"=""T4701""","=""L3451""",
B,2,"=""703.254""","=""0.003""","=""2""","=""3.97e+07""",A,"=""129773.83""","=""143989.95""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.3p""","=""3P*""","=""0""",,"=""T7096""","=""L12120""",
Hf,1,"=""703.2550""","=""0.0015""","=""59""","=""""",,"=""26918.146""","=""41133.82""","=""5d3.(b 2P).6s""","=""c 3P""","=""1""","=""5d2.(a 3P).6s.(a 2P).6p""","=""w 3P*""","=""0""",,"=""""","=""L16323""",
Th,1,"=""703.29310""","=""0.00005""","=""410""","=""""",,"=""8800.249723""","=""23015.15141""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L5951""",
Bi,2,"=""703.3""","=""""","=""12""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3331""",
W,1,"=""703.314""","=""""","=""2""","=""""",,"=""35299.82""","=""49514.34""","=""""","=""""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153,L416""",
Ti,1,"=""703.3310""","=""0.0006""","=""6""","=""""",,"=""7255.355""","=""21469.488""","=""3d2.4s2""","=""a 1D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3G*""","=""3""",,"=""""","=""L10989""",
W,1,"=""703.332""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Th,1,"=""703.33588""","=""0.00006""","=""230*""","=""""",,"=""26363.10178""","=""40577.1425""","=""""","=""*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L5951""",
Th,1,"=""703.33588""","=""0.00006""","=""230*""","=""""",,"=""14465.221873""","=""28679.25957""","=""6d2.7s.7p""","=""5G*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L5951""",
Ti,2,"=""703.3573""","=""0.0005""","=""9""","=""""",,"=""67699.4431""","=""81913.0457""","=""3d2.(3F).4d""","=""4P""","=""5/2""","=""3d2.(3F).4f""","=""4F*""","=""7/2""",,"=""""","=""u37""",
Th,1,"=""703.36524""","=""0.00008""","=""130""","=""""",,"=""12847.96912""","=""27061.41472""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Tm,1,"=""703.434""","=""0.0020""","=""120""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2006,L3475""",
Xe,1,"=""703.480""","=""0.001""","=""3""","=""""",,"=""80970.438""","=""95181.66""","=""5p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""","=""5p5.(2P*<3/2>).10p""","=""2[5/2]""","=""2""",,"=""""","=""L4739""",
W,1,"=""703.480""","=""""","=""3""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
Si,1,"=""703.4903""","=""""","=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
Y,1,"=""703.5150""","=""""","=""19h""","=""6.3e+06""",D+,"=""19027.593""","=""33238.011""","=""4d.5s.(3D).5p""","=""z 4P*""","=""3/2""","=""4d.5s.(3D).6s""","=""e 4D""","=""3/2""",,"=""T4373""","=""L7610,L3475""",
Hf,1,"=""703.5150""","=""0.0015""","=""350""","=""1.1e+05""",D+,"=""16766.637""","=""30977.0338""","=""5d3.(b 4F).6s""","=""a 5F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""5""",,"=""T5346""","=""L16323""",
Xe,1,"=""703.553""","=""0.001""","=""20""","=""4.00e+05""",B+,"=""79212.465""","=""93422.108""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""T5818""","=""L4739""",
Ti,1,"=""703.5802""","=""0.0006""","=""23""","=""""",,"=""25317.814""","=""39526.912""","=""3d3.(4F).4p""","=""y 3D*""","=""1""","=""3d3.(4F).5s""","=""f 3F""","=""2""",,"=""""","=""L10989""",
Bi,1,"=""703.6026""","=""0.0015""","=""4""","=""""",,"=""33164.805""","=""47373.477""","=""6p3""","=""2P*""","=""3/2""","=""6p2.(3P<0>).8s""","=""2[0]""","=""1/2""",,"=""""","=""L6416,L7394""",
Th,1,"=""703.62153""","=""0.00009""","=""110*""","=""""",,"=""11601.03035""","=""25809.30337""","=""6d3.(4P).7s""","=""5P""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L5951""",
Th,1,"=""703.62153""","=""0.00009""","=""110*""","=""""",,"=""22877.58322""","=""37085.8553""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L5951""",
Th,1,"=""703.628335""","=""0.000015""","=""1500""","=""""",,"=""11197.031257""","=""25405.16237""","=""5f.6d.7s2""","=""3H*""","=""5""","=""5f.6d.7s.7p""","=""5H""","=""4""",,"=""""","=""L18702""",
Hf,1,"=""703.6480""","=""0.0015""","=""10""","=""""",,"=""26305.8081""","=""40513.560""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""","=""5d.6s2.(a 2D).7s""","=""d 3D""","=""2""",,"=""""","=""L16323""",
Sm,2,"=""703.673""","=""""","=""13""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""703.6950""","=""0.0019""","=""25*""","=""""",,"=""33139.1776""","=""47345.946""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 5P*""","=""3""","=""6p2.(1D).5d.(2G).6s""","=""b 3G""","=""3""",,"=""""","=""L16323""",
Hf,1,"=""703.6950""","=""0.0019""","=""25*""","=""""",,"=""35453.8381""","=""49660.579""","=""5d2.(a 1G).6s.(a 2G).6p""","=""w 3F*""","=""3""","=""""","=""4966""","=""3""",,"=""""","=""L16323""",
Yb,3,"=""703.704""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4835""",
C,3,"=""703.725""","=""""","=""150w""","=""7.46e+07""",B,"=""310006.32""","=""324212.49""","=""1s2.2p.(2P*).3s""","=""1P*""","=""1""","=""1s2.2s.4d""","=""1D""","=""2""",,"=""T5633""","=""L1113""",
Gd,2,"=""703.726""","=""""","=""21""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Nd,2,"=""703.730""","=""""","=""35""","=""""",,"=""3801.930""","=""18007.935""","=""4f4.(5I).6s""","=""6I""","=""15/2""","=""4f3.5d2""","=""6H*""","=""13/2""",,"=""""","=""L3475""",
Cu,2,"=""703.7388""","=""0.0004""","=""2900""","=""""",,"=""122867.7407""","=""137073.6465""","=""3d9.(2D<3/2>).5p""","=""2[1/2]*""","=""1""","=""3d9.(2D<5/2>).5d""","=""2[5/2]""","=""2""",,"=""""","=""L869c171""",
Th,1,"=""703.7410""","=""0.0005""","=""18""","=""""",,"=""16346.64962""","=""30552.50463""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""4""",,"=""""","=""L3552""",
F,1,"=""703.7469""","=""0.0002""","=""45000""","=""4.23e+07""",C,"=""104731.05""","=""118936.80""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2P*""","=""3/2""",,"=""T7043""","=""L7481""",
Th,1,"=""703.7781""","=""0.0005""","=""36""","=""""",,"=""18549.40528""","=""32754.5067""","=""6d3.(4P).7s""","=""""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L3552""",
V,2,"=""703.7825""","=""0.0012""","=""170""","=""1.3e+07""",D,"=""76403.6726""","=""90608.695""","=""3d3.(4F).4d""","=""5D""","=""2""","=""3d3.(4F<9/2>).4f""","=""2[3/2]*""","=""2""",,"=""T9770""","=""L10089c179""",
Th,1,"=""703.7852""","=""0.0005""","=""46""","=""""",,"=""17224.302340""","=""31429.25358""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""1""",,"=""""","=""L3552""",
Mo,1,"=""703.7963""","=""""","=""22""","=""1.07e+06""",C+,"=""26638.742""","=""40843.482""","=""4d5.(2D).5s""","=""b 3D""","=""3""","=""4d4.5s.(4D).5p""","=""z 3F*""","=""4""",,"=""T5293""","=""L10250,L3475""",
Nb,1,"=""703.804""","=""""","=""17""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Hf,1,"=""703.8070""","=""0.0015""","=""10""","=""""",,"=""36075.0722""","=""50279.571""","=""5d2.(a 3F).6s.(a 2F).6p""","=""x 3F*""","=""4""","=""""","=""5028""","=""5""",,"=""""","=""L16323""",
Th,1,"=""703.8165""","=""0.0005""","=""180""","=""""",,"=""19516.98043""","=""33721.32901""","=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Fe,1,"=""703.82230""","=""0.00015""","=""71""","=""2.5e+06""",D,"=""34017.103""","=""48221.324""","=""3d7.(4F).4p""","=""y 5D*""","=""1""","=""3d7.(4F).5s""","=""e 5F""","=""1""",,"=""T2578n""","=""L11631""",
Th,1,"=""703.87203""","=""0.00010""","=""85""","=""""",,"=""14247.30742""","=""28450.51635""","=""5f.6d.7s2""","=""3P*""","=""0""","=""""","=""""","=""1""",,"=""""","=""L5951""",
Rh,1,"=""703.876""","=""""","=""11""","=""""",,"=""16943.50""","=""31146.68""","=""4d7.5s2""","=""b 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 4D*""","=""1/2""",,"=""""","=""L3475""",
Ti,1,"=""703.8812""","=""0.0006""","=""100""","=""""",,"=""18911.394""","=""33114.420""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d3.(4P).4p""","=""x 3P*""","=""2""",,"=""""","=""L10989""",
Ta,1,"=""703.907""","=""""","=""40""","=""""",,"=""22428.56""","=""36631.15""","=""5d4.(3H).6s""","=""a 4H""","=""11/2""","=""""","=""366*""","=""9/2""",,"=""""","=""L3475""",
Te,2,"=""703.913""","=""0.018""","=""180""","=""""",,"=""83577.41""","=""97780.09""","=""5s2.5p2.(3P).6s""","=""2P""","=""1/2""","=""5s2.5p2.(3P).6p""","=""2S*""","=""1/2""",,"=""""","=""L3546""",
Np,1,"=""703.914""","=""""","=""300s""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Hf,1,"=""703.9160""","=""0.0015""","=""59""","=""""",,"=""23641.389""","=""37843.707""","=""5d3.(c 2D).6s""","=""a 3D""","=""1""","=""5d2.(b 1D).6s.(b 2D).6p""","=""x 3P*""","=""0""",,"=""""","=""L16323""",
Sm,2,"=""703.922""","=""""","=""90""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""703.9264""","=""0.0006""","=""25""","=""""",,"=""25438.908""","=""39641.021""","=""3d3.(4F).4p""","=""y 3D*""","=""2""","=""3d3.(4F).5s""","=""f 3F""","=""3""",,"=""""","=""L10989""",
Cu,1,"=""703.937""","=""0.014""","=""25*""","=""""",,"=""56651.41""","=""70853.37""","=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""","=""3d9.4s.(3D).4d""","=""2P""","=""3/2""",,"=""""","=""L772""",
Cu,1,"=""703.937""","=""0.014""","=""25*""","=""""",,"=""49382.945""","=""63584.65""","=""3d10.5p""","=""2P*""","=""3/2""","=""3d9.4s.(3D).5s""","=""4D""","=""3/2""",,"=""""","=""L772""",
Cu,1,"=""703.937""","=""0.014""","=""25*""","=""""",,"=""49383.264""","=""63584.65""","=""3d10.5p""","=""2P*""","=""1/2""","=""3d9.4s.(3D).5s""","=""4D""","=""3/2""",,"=""""","=""L772""",
V,2,"=""703.9407""","=""0.0012""","=""290""","=""2.2e+07""",D+,"=""76673.1011""","=""90874.941""","=""3d3.(4F).4d""","=""5D""","=""4""","=""3d3.(4F<9/2>).4f""","=""2[9/2]*""","=""5""",,"=""T9770""","=""L10089c179""",
Fe,2,"=""703.9732""","=""0.0002""","=""400""","=""3.24e+07""",B+,"=""90638.823""","=""104839.990""","=""3d6.(5D).5p""","=""4D*""","=""5/2""","=""3d6.(3F2).4d""","=""4P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Th,1,"=""703.9877""","=""0.0005""","=""22""","=""""",,"=""17398.39526""","=""31599.2726""","=""6d3.(4F).7s""","=""""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L3552""",